KO	Symbol	Name	Cycle	Function	Pathway
K14082	mtbA	 [methyl-Co(III) methylamine-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.247]	Carbon	Methanogenesis	Methanogenesis
K16176	mtmB	 methylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.248]	Carbon	Methanogenesis	Methanogenesis
K16177	mtmC	 monomethylamine corrinoid protein	Carbon	Methanogenesis	Methanogenesis
K16178	mtbB	 dimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.249]	Carbon	Methanogenesis	Methanogenesis
K16179	mtbC	 dimethylamine corrinoid protein	Carbon	Methanogenesis	Methanogenesis
K14083	mttB	 trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250]	Carbon	Methanogenesis	Methanogenesis
K14084	mttC	 trimethylamine corrinoid protein	Carbon	Methanogenesis	Methanogenesis
K02588	nifH	nitrogenase iron protein NifH	Nitrogen	N fixation	Nitrogen fixation
K02586	nifD	nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]	Nitrogen	N fixation	Nitrogen fixation
K02591	nifK	nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]	Nitrogen	N fixation	Nitrogen fixation
K00531	anfG	nitrogenase delta subunit [EC:1.18.6.1]	Nitrogen	N fixation	Nitrogen fixation
K22896	vnfD	vanadium-dependent nitrogenase alpha chain [EC:1.18.6.2]	Nitrogen	N fixation	Nitrogen fixation
K22897	vnfK	vanadium-dependent nitrogenase beta chain [EC:1.18.6.2]	Nitrogen	N fixation	Nitrogen fixation
K22898	vnfG	vanadium nitrogenase delta subunit [EC:1.18.6.2]	Nitrogen	N fixation	Nitrogen fixation
K22899	vnfH	vanadium nitrogenase iron protein	Nitrogen	N fixation	Nitrogen fixation
K10944	pmoA-amoA	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]	Nitrogen	Nitrification	Ammonia oxidation
K10945	pmoB-amoB	methane/ammonia monooxygenase subunit B	Nitrogen	Nitrification	Ammonia oxidation
K10946	pmoC-amoC	methane/ammonia monooxygenase subunit C	Nitrogen	Nitrification	Ammonia oxidation
K10535	hao	hydroxylamine dehydrogenase [EC:1.7.2.6]	Nitrogen	Nitrification	Hydroxylamine oxidation
K00368	nirK	nitrite reductase (NO-forming) [EC:1.7.2.1]	Nitrogen	Denitrification	Denitrification
K15864	nirS	nitrite reductase (NO-forming) / hydroxylamine reductase [EC:1.7.2.1 1.7.99.1]	Nitrogen	Denitrification	Denitrification
K04561	norB	nitric oxide reductase subunit B [EC:1.7.2.5]	Nitrogen	Denitrification	Denitrification
K02305	norC	nitric oxide reductase subunit C	Nitrogen	Denitrification	Denitrification
K00376	nosZ	nitrous-oxide reductase [EC:1.7.2.4]	Nitrogen	Denitrification	Denitrification
K00370	"narG, narZ, nxrA"	"nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]"	Nitrogen	Denitrification	Dissimilatory nitrate reduction
K00371	"narH, narY, nxrB"	"nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"	Nitrogen	Denitrification	Dissimilatory nitrate reduction
K00374	"narI, narV"	nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	Nitrogen	Denitrification	Dissimilatory nitrate reduction
K02567	napA	nitrate reductase (cytochrome) [EC:1.9.6.1]	Nitrogen	Denitrification	Dissimilatory nitrate reduction
K02568	napB	"nitrate reductase (cytochrome), electron transfer subunit"	Nitrogen	Denitrification	Dissimilatory nitrate reduction
K00362	nirB	nitrite reductase (NADH) large subunit [EC:1.7.1.15]	Nitrogen	Denitrification	Dissimilatory nitrate reduction
K00363	nirD	nitrite reductase (NADH) small subunit [EC:1.7.1.15]	Nitrogen	Denitrification	Dissimilatory nitrate reduction
K03385	nrfA	nitrite reductase (cytochrome c-552) [EC:1.7.2.2]	Nitrogen	Denitrification	Dissimilatory nitrate reduction
K15876	nrfH	cytochrome c nitrite reductase small subunit	Nitrogen	Denitrification	Dissimilatory nitrate reduction
