KO	Symbol	Name	Cycle	Function	Pathway	K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36
11	K00201	fwdB, fmdB	 formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]	Carbon	Methanogenesis	Methanogenesis	193.99	197.82	169	109.99	50.83	86.84	164	119.5	111.99	133.33	159	130	206.66	103.68	140.99	78.32	94.66	114.67	120	94.17	50.67	92.66	89.5	66.66	211.33	171.17	208	114	142.01	180.65	173	137.33	107.01	63.35	86.67	121.33	146.32	107.5	100.17	179.01	225.42	162.33	244.16	131.67	219.68	221.34	217.99	224.68	221.69	211.5	291.5	158.77	168.02	131.82	173.68	150.49	200.1	219.11	182.97	210.35	193.19	261.47	211.61	55.87	103.77	93.26	182.91	157.05	85.22	114.88	239.5	196.15	166.48	139.62	156.35	169.25	150.1	182.47	119.68	231.25	171.23	196.81	115.85	216.37	197.54	148.84	187.02	204.03	131.55	198.6
12	K00202	fwdC, fmdC	 formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]	Carbon	Methanogenesis	Methanogenesis	193.99	197.82	169	101.99	50.83	86.84	164	119.5	111.99	133.33	159	130	179.66	103.01	140.99	78.32	94.66	109.67	120	94.17	50.67	81.66	89.5	66.66	211.33	171.17	183	114	142.01	180.65	173	137.33	107.01	63.35	86.67	121.33	146.32	107.5	100.17	179.01	220.42	162.33	244.16	131.67	219.68	221.34	218.99	212.68	221.69	204.5	291.5	144.44	162.02	131.82	173.01	150.16	201.1	216.44	181.3	209.02	194.52	263.14	212.94	57.87	103.77	92.26	191.24	160.05	85.22	114.21	237.83	197.15	168.81	140.62	156.35	172.58	150.1	183.14	119.68	233.75	173.56	197.14	114.52	217.37	196.54	148.51	190.35	203.7	134.22	199.77
13	K00203	fwdD, fmdD	 formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]	Carbon	Methanogenesis	Methanogenesis	0	0	0	8	0	0	0	0	0	0	0	0	27	3.68	0	0	0	5	0	0	0	11	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	12	0	7	0	15.99	6	0	2.01	0.99	6	8.01	5.01	3.99	5.01	3.99	5.01	3	0	3	5.01	9	0	2.01	12.01	9	2.01	0	0	2.01	0	6.99	0	13	8.01	8.01	3.99	9	3	0.99	2.01	6.99	3.99	4.49
14	K00204	fwdH	 4Fe-4S ferredoxin	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5
15	K00205	fwdF, fmdF	 4Fe-4S ferredoxin	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1.66	0	0	1.34	0.66	4	5.34	3.34	2.66	3.34	2.66	3.34	2	0	2	3.34	6	0	1.34	5.34	6	1.34	0	0	1.34	0	4.66	0	8.5	5.34	5.34	2.66	6	2	0.66	1.34	4.66	2.66	3.66
16	K00239	sdhA, frdA	succinate dehydrogenase flavoprotein subunit [EC:1.3.99.1]	Carbon	Autotrophic C fixation	rTCA	11137.22	11428.65	11422.69	12340.99	12240.33	12048.84	12197.83	11119.5	12366.48	11889.33	10968	11319.82	11294.82	10988	11226.65	11289.96	10954.82	11447.83	11422.58	11786.35	11269.33	10406.66	11116.23	10627.2	10700.68	11111.33	10314.66	11444.17	11040.33	11413.8	11337.67	11357.67	10906.5	11797.69	11475.1	11381.66	10713.06	10930.85	10657.78	11217.18	10552.52	11173.81	10660.57	11490.36	11405.32	10707.85	10996.65	10286.19	10633.82	10686.41	10686.46	11123.56	10797.16	11067.67	11309.06	11638.14	11122.95	11599.55	11502.17	11768.52	11322.41	11374.99	11379.94	11699.03	11151.49	11458.64	10935.46	11018.79	11417.14	11519.46	11142.32	11151.43	11761.93	11780.39	11837.54	11653.38	11598.74	11240.88	11164.11	11186.54	11168.37	10956.21	10783.04	10753.53	11101.1	11077.35	10943.96	11099.11	11123.14	11075.92
17	K00240	sdhB, frdB	succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]	Carbon	Autotrophic C fixation	rTCA	10238.22	10231.65	9916.69	9799.99	9803.33	9756.84	10121.83	9896.5	9905.48	10239.33	10187	10344.82	10229.82	10045	10498.65	10308.96	10404.82	10371.83	10024.58	10238.35	10160.33	9770.66	10672.23	10117.2	9883.68	10368.33	9667.66	10303.17	10248.33	10274.8	10705.67	10222.67	10146.5	10479.69	10337.1	10220.66	9976.06	10171.85	9998.78	10148.18	10137.52	10222.81	9657.57	10261.36	10314.32	9417.85	9653.65	9374.19	9327.82	9427.41	9280.46	9972.56	9833.16	10027.67	10697.06	10703.14	10196.95	10916.55	10766.17	11114.52	10408.41	10479.99	10477.94	8741.03	9188.49	9329.64	9565.46	8976.79	9448.14	10015.46	9444.65	9827.43	11193.76	11389.39	11228.54	10838.88	10696.74	10385.21	10542.11	9883.54	10237.37	9319.21	9650.54	9440.03	9776.1	9874.35	9923.96	9842.11	9976.14	9820.25
18	K00319	mtd	 methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1]	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	1.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1.33	0	0	0.67	0.33	2	2.67	1.67	1.33	1.67	1.33	1.67	1	0	1	1.67	3	0	0.67	2.67	3	0.67	0	0	0.67	0	2.33	0	4.5	2.67	2.67	1.33	3	1	0.33	0.67	2.33	1.33	1.83
19	K00320	mer	 5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]	Carbon	Methanogenesis	Methanogenesis	223	220	251.67	209	96	148	223	179	182	130	109	129.33	160	94.67	131.33	135	105	136	193	147	154	54	126.67	142	96.17	165.33	132.33	155	116.66	46	117	175	128.33	179	147	140	86	111	156	99	7	0	8	54	88	48.67	79	88.66	66.67	92	78.34	31.67	34	23	162.5	75.51	98.67	232.99	174.67	170.99	122.34	38.66	149.33	163.33	204	229.33	222	199	210	93.33	122.01	55	350.34	274.66	277.33	270.67	281.67	259.83	89	191.17	164	297.01	364.33	260.67	361.34	407	434	233.66	201	207.5
20	K00362	nirB	nitrite reductase (NADH) large subunit [EC:1.7.1.15]	Nitrogen	Denitrification	Dissimilatory nitrate reduction	1650.46	1551.65	1382.67	1304.99	1173.83	1387.34	1285.5	1554.5	1148.99	1002.83	1310.67	1423.83	895.99	898.33	1259.82	1139.98	1334.66	1088	1396.17	1606.67	1290.17	1514.82	2074.25	2504.6	1330	1734.17	1053.83	1588.17	1561.67	1442.48	1761.5	1355.13	1037.84	1525.35	1270.92	1176.33	1408.57	1264.92	1256.62	1033.35	1332.08	1193.16	1137.67	905.5	1193.18	1159.01	1600.82	1117.21	1357.38	1289.27	1424.9	1141.36	1032.93	1097	2519.24	2149.34	2326.52	2267.08	2220.97	2622.11	2292.89	2586.39	2193.09	2151.7	2031.18	2495.09	2830.07	2621.63	2086.32	2329.2	2529.62	2707.45	2380.88	2525.43	2714.7	2446.59	2544.1	2586.51	2254.42	2921.84	2334.13	2500.13	1921.75	2669.78	2727.3	2017.18	2512.36	2207.78	1843.47	2677.44
21	K00363	nirD	nitrite reductase (NADH) small subunit [EC:1.7.1.15]	Nitrogen	Denitrification	Dissimilatory nitrate reduction	4054.05	3927.14	4153.67	4853.48	5076.33	5075.51	4454	4750.83	4537.81	3936.32	3671.34	3860.33	3275.15	3312.16	3395.81	3821.13	3824.65	3438	4006.83	4934.84	3926.17	3391.82	3569.08	4313.76	3303.83	4241.84	3284.83	4060.17	3811.52	3876.79	3867.67	3677.56	3315.35	4696.37	4236.76	4056.33	3892.06	3794.09	3960.29	3896.35	3525.01	3676.49	3750.66	4251.67	4026.53	2658.18	2803.48	2445.72	2933.07	2742.77	3082.52	3603.51	3055.27	3453.1	3657.71	3252.33	3520.32	3017.16	3072.32	3389.58	3137.74	3338.85	3083.75	2429.93	2507.8	2889.48	3509.08	3190.86	2939.98	3825	3861.76	3826.17	3189.75	3194.98	3532.51	3440.43	3502.17	3643.66	3088.94	3787.7	2989.3	3449.02	2829.2	3477.72	3509.54	3233.81	3188.37	3312.86	3081.82	3650.54
22	K00368	nirK	nitrite reductase (NO-forming) [EC:1.7.2.1]	Nitrogen	Denitrification	Denitrification	1955.67	2390.5	2942.5	4125.5	4100.67	4159.16	3768	2351.83	4318.83	3727.16	2672.5	2971.5	2520.5	2364	2491	2983.33	2181.33	3007.33	2617.08	3451.67	2375.33	1488.67	1258.83	1959.02	1810.33	1997.67	1163.67	3448.5	2823.67	3390.16	2410.67	2726	2146	3533.17	2874.84	2669.67	2475.83	2290.41	2330.87	2747.83	1610.59	2372.83	2576	2938.92	2992.84	2160.33	1943.67	1557.79	1830.08	1710.67	2114.17	2710.33	1877.17	2640.76	1452.65	1506.15	1560.93	716.5	774.28	799.91	1133.01	1106.36	1033.61	391.11	880.81	866.5	1168.14	772.68	1609.88	2730.08	1984.83	1700.22	1089.34	916.99	1201.5	1428.24	1576.83	1380.36	1512.5	1168.88	1063.57	1483.82	1463.71	1148.56	1373.7	2053.41	922.33	1778.61	2127.89	1493.02
23	K00370	narG, narZ, nxrA	nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]	Nitrogen	Denitrification	Dissimilatory nitrate reduction	517.4	610.5	498.17	378.5	269	453	274.5	496	331	370	389	289.5	380.5	299	425.5	389	420.5	326	506.16	398	408	516	633.16	626.2	432.5	670.5	324.5	428	564.66	424	619.5	396.4	529	255	299.75	372	496.59	537.25	452.65	448.34	575.5	428	497	586.33	671	199	376.5	176.94	270.34	259.83	280.51	343.16	301.01	416.06	728.16	732.16	673.84	763.16	741.51	872	894.74	956.16	702.5	685.84	688.16	558	715.16	781.66	578.54	733.66	766.34	716.5	743.83	781.53	738.34	815.84	642	588.16	482.16	797.01	820.49	705.66	520.46	778.02	657.01	450.66	641.83	589	529.66	804.83
24	K00371	narH, narY, nxrB	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]	Nitrogen	Denitrification	Dissimilatory nitrate reduction	527.4	637.5	509.17	460.5	336	518	317.5	539	378	429	453	353.5	461.5	312	504.5	447	492.5	376	504.16	426	431	547	665.16	620.2	458.5	695.5	324.5	469	576.66	511	705.5	410.4	413	335	354.75	417	564.59	565.25	462.65	448.34	575.5	518	497	619.33	692	199	376.5	185.94	270.34	273.83	270.51	370.16	326.01	455.06	730.16	745.16	680.84	780.16	757.51	887	900.74	973.16	712.5	684.84	688.16	566	725.16	788.66	609.54	775.66	792.34	744.5	757.83	790.53	769.34	825.84	657	596.16	487.16	803.01	829.49	707.66	531.46	779.02	670.01	470.66	641.83	589	553.66	823.83
25	K00374	narI, narV	nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]	Nitrogen	Denitrification	Dissimilatory nitrate reduction	396.4	512.5	355.17	328.5	162	370	257.5	346	300	398	422	279.5	421.5	306	432.5	367	399.5	307	507.16	371	364	542	682.16	537.2	437.5	641.5	274.5	449	535.66	519	671.5	375.4	292	219	321.75	348	548.59	542.25	435.65	460.34	559.5	513	515	571.33	685	251	439.5	261.94	408.34	351.83	350.51	365.16	309.01	419.06	781.16	760.16	691.84	796.16	798.51	873	905.74	990.16	746.5	688.84	730.16	598	769.16	824.66	623.54	746.66	781.34	758.5	761.83	787.53	774.34	837.84	658.5	616.66	499.16	808.01	870.49	710.66	530.46	811.02	689.01	448.66	618.83	610	570.66	844.83
26	K00376	nosZ	nitrous-oxide reductase [EC:1.7.2.4]	Nitrogen	Denitrification	Denitrification	517.67	291.33	414.5	241	512.5	507.5	240	677	243	482	815	700	370	478	569	817	1009	490	491.67	702	566	938	640	1258.27	487	812	538	924	1040	781	807	579.4	665	755	720	634	793	745	812.2	463.67	308.75	285	278	354.25	364	480	400	517.3	486	426.5	422	591.33	508	585.33	283	209.33	281.78	222	275.78	227	263.67	322.78	252.61	127.44	220.56	193.33	471.39	294.11	322.22	277	446.17	479.55	291	301.56	289.33	316.89	275.17	234.61	232	378.55	221.89	454.56	208.78	354.23	394.11	220	224	298.77	306.22	375
27	K00399	mcrA	 methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0.33	0	0	0.67	0.33	31	73.67	1.67	1.33	1.67	1.33	52.67	1	0	1	1.67	3	0	0.67	2.67	3	0.67	0	0	0.67	0	2.33	0	4.5	2.67	2.67	1.33	3	1	0.33	0.67	2.33	1.33	1.83
28	K00401	mcrB	 methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0.33	0	0	0.67	0.33	31	73.67	1.67	1.33	1.67	1.33	52.67	1	0	1	1.67	3	0	0.67	2.67	3	0.67	0	0	0.67	0	2.33	0	4.5	2.67	2.67	1.33	3	1	0.33	0.67	2.33	1.33	1.83
29	K00402	mcrG	 methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1]	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0.33	0	0	0.67	0.33	31	73.67	1.67	1.33	1.67	1.33	52.67	1	0	1	1.67	3	0	0.67	2.67	3	0.67	0	0	0.67	0	2.33	0	4.5	2.67	2.67	1.33	3	1	0.33	0.67	2.33	1.33	1.83
30	K00531	anfG	nitrogenase delta subunit [EC:1.18.6.1]	Nitrogen	N fixation	Nitrogen fixation	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	K00577	mtrA	 tetrahydromethanopterin S-methyltransferase subunit A [EC:2.1.1.86]	Carbon	Methanogenesis	Methanogenesis	652	897	1150	1890	1821	1815	1685	888	1950	1480	800	1035	899	757.34	753	942	506	1079	1010	1422	850	279	215	346	554	579	238	1132	794	1191	647	955	626	1275	937	902	716	622	568	1005	401	861	942	1138	1088	765	715	479	632	607	818	1007.66	647	984	344.34	443.66	422	93.34	101.34	101.66	212.34	245.66	217.34	106	271	273	291.34	185	629	1026.34	710.34	507	188.34	93	249	337.34	418	300.66	325	262	224.34	413.34	421.66	272	404	737.66	215.34	591.66	741.66	458.16
32	K00578	mtrB	 tetrahydromethanopterin S-methyltransferase subunit B [EC:2.1.1.86]	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.33	0	0	0.67	0.33	2	2.67	1.67	1.33	1.67	1.33	1.67	1	0	1	1.67	3	0	0.67	2.67	3	0.67	0	0	0.67	0	2.33	0	4.5	2.67	2.67	1.33	3	1	0.33	0.67	2.33	1.33	1.83
33	K00579	mtrC	 tetrahydromethanopterin S-methyltransferase subunit C [EC:2.1.1.86]	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.33	0	0	0.67	0.33	2	2.67	1.67	1.33	1.67	1.33	1.67	1	0	1	1.67	3	0	0.67	2.67	3	0.67	0	0	0.67	0	2.33	0	4.5	2.67	2.67	1.33	3	1	0.33	0.67	2.33	1.33	1.83
34	K00580	mtrD	 tetrahydromethanopterin S-methyltransferase subunit D [EC:2.1.1.86]	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.33	0	0	0.67	0.33	2	2.67	1.67	1.33	1.67	1.33	1.67	1	0	1	1.67	3	0	0.67	2.67	3	0.67	0	0	0.67	0	2.33	0	4.5	2.67	2.67	1.33	3	1	0.33	0.67	2.33	1.33	1.83
35	K00581	mtrE	 tetrahydromethanopterin S-methyltransferase subunit E [EC:2.1.1.86]	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.33	0	0	0.67	0.33	2	2.67	1.67	1.33	1.67	1.33	1.67	1	0	1	1.67	3	0	0.67	2.67	3	0.67	0	0	0.67	0	2.33	0	4.5	2.67	2.67	1.33	3	1	0.33	0.67	2.33	1.33	1.83
36	K00582	mtrF	 tetrahydromethanopterin S-methyltransferase subunit F [EC:2.1.1.86]	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.33	0	0	0.67	0.33	2	2.67	1.67	1.33	1.67	1.33	1.67	1	0	1	1.67	3	0	0.67	2.67	3	0.67	0	0	0.67	0	2.33	0	4.5	2.67	2.67	1.33	3	1	0.33	0.67	2.33	1.33	1.83
37	K00583	mtrG	 tetrahydromethanopterin S-methyltransferase subunit G [EC:2.1.1.86]	Carbon	Methanogenesis	Methanogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0.67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.33	0	0	0.67	0.33	2	2.67	1.67	1.33	1.67	1.33	1.67	1	0	1	1.67	3	0	0.67	2.67	3	0.67	0	0	0.67	0	2.33	0	4.5	2.67	2.67	1.33	3	1	0.33	0.67	2.33	1.33	1.83
