Autotrophic_C_fixation	Cellulose_breakdown	Chitin_breakdown	Denitrification	Lignin_breakdown	Methane_oxidation	Methanogenesis	N_fixation	Nitrification	Xylan_breakdown
M26	50463.24	744.42	1245.43	11215.65	542.4	69.08	17182	222.91	1012	2615.22
M27	50963.84	1028.91	1529.22	9654.73	487	75	16505.51	202.7	876	2540.67
M28	49867.15	588.35	1005.31	10490.31	419.99	95.2	16247.55	174.18	1744	1803.72
M29	49358.33	677.23	980.49	8292.7	369.23	67.14	15713.55	107.32	1753	1296.59
M30	49530.7	565.34	1063.36	10662.04	390	79	16474.85	142.68	1064	1654.66
M31	50761.49	669.68	1187.34	10522.01	460.1	104.86	16259.31	174.33	1643	2102.53
M32	49908.25	583.83	1056.63	9195.38	461.19	111.72	16442.09	142.98	2997	2365.82
M33	51492.26	764.76	1139.44	9146.21	480.8	114	16381.23	174.51	901.5	2187.48
M34	49262.39	696.06	957.24	9895.51	343.33	78.2	16738.89	299.31	2560	1889.58
M35	49111.56	702.34	974	9520.7	362.66	41	16238.29	253.14	3030	1864.46
M36	50202.37	614.5	1063.64	11229	412.16	74.2	16703.76	248.48	1918	2153.51
